Event Attendees,,,
Event,web scraping,,
Date,"Tuesday, November 3, 2015",,
Presenter,Professor Simon,,
Location,Training Room,,
Campus, Campus,,
Seats,45,,
,,,
Booking,affiliated,Status,Discipline
"12:08pm Tuesday, August 14, 2018",Yes,Graduate Student,Fuqua School of Business
"12:59pm Tuesday, August 14, 2018",Yes,Graduate Student,Political Science
"11:27am Wednesday, August 15, 2018",Yes,Graduate Student,Sociology
"7:07pm Sunday, August 19, 2018",Yes,Graduate Student,Sociology
"10:20am Thursday, August 23, 2018",Yes,Post Doc,Biology
"9:00am Monday, August 27, 2018",Yes,Staff,Nicholas School of the Environment
"3:12pm Monday, August 27, 2018",Yes,Library Staff,Other / None
"2:04am Friday, August 31, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"10:27am Saturday, September 1, 2018",Yes,Graduate Student,Nicholas School of the Environment
"4:22pm Sunday, September 2, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"4:46pm Sunday, September 2, 2018",Yes,Graduate Student,Other / None
"10:43am Tuesday, September 4, 2018",Yes,Graduate Student,Economics
"2:31pm Tuesday, September 18, 2018",Yes,Graduate Student,Economics
"10:02pm Wednesday, October 3, 2018",Yes,Undergraduate,Computer Science
"10:23am Wednesday, October 31, 2018",Yes,Staff,Sociology
"10:24am Wednesday, October 31, 2018",Yes,Staff,School of Medicine
"10:26am Wednesday, October 31, 2018",Yes,Graduate Student,Economics
"10:43am Wednesday, October 31, 2018",Yes,Graduate Student,Sanford School of Public Policy
"10:46am Wednesday, October 31, 2018",Yes,Post Doc,Engineering (Pratt School of Engineering)
"11:47am Wednesday, October 31, 2018",Yes,Staff,Duke University Health System (DUHS)
"2:12pm Wednesday, October 31, 2018",Yes,Staff,Neuroscience
"6:05pm Sunday, November 4, 2018",Yes,Graduate Student,Economics
"7:17pm Tuesday, November 6, 2018",Yes,Other,Economics
"3:11pm Monday, November 12, 2018",Yes,Staff,Other / None
